DateTime,Temperature,Humidity,Wind Speed,general diffuse flows,diffuse flows,Zone 1,Zone 2,Zone 3
01/01/2017 00:00,20.99,61.79,4.15,69.89,107.47,29823.05,24962.46,20654.79
01/01/2017 00:10,20.35,63.44,2.73,397.63,216.65,29517.23,25634.06,20554.8
01/01/2017 00:20,22.55,66.68,0.56,100.81,253.39,29250.48,25565.3,19722.49
01/01/2017 00:30,24.93,67.16,8.65,81.83,103.16,30210.63,24726.85,20375.09
01/01/2017 00:40,22.03,55.63,8.13,82.13,55.74,31216.44,26796.67,21477.6
01/01/2017 00:50,22.64,58.46,10.0,407.29,333.97,33347.15,25847.07,21016.58
01/01/2017 01:00,26.86,66.34,9.97,332.6,393.76,31331.82,25234.28,22501.25
01/01/2017 01:10,25.81,66.95,5.55,261.53,210.28,32362.68,26368.62,21519.32
01/01/2017 01:20,23.9,67.57,7.69,179.42,68.67,32403.41,28136.47,21567.13
01/01/2017 01:30,26.47,84.87,9.45,438.6,108.92,33879.51,27833.07,21429.2
01/01/2017 01:40,24.98,69.06,8.5,196.22,7.36,35478.62,27082.43,21851.13
01/01/2017 01:50,25.47,72.49,2.47,408.3,365.72,32669.61,27280.98,21828.81
01/01/2017 02:00,27.36,72.17,4.51,219.57,47.1,32947.08,27491.91,22486.78
01/01/2017 02:10,23.49,71.24,1.29,188.47,230.61,34703.02,29588.49,22769.34
01/01/2017 02:20,24.28,66.98,9.54,231.34,109.62,34548.51,28398.84,21848.38
01/01/2017 02:30,26.99,72.92,6.06,150.69,221.67,35905.67,28591.2,21636.64
01/01/2017 02:40,26.44,65.82,2.29,373.8,260.57,34819.05,29212.32,21439.35
01/01/2017 02:50,29.42,69.04,6.72,251.36,331.9,34035.11,28706.55,22941.43
01/01/2017 03:00,27.26,68.34,6.18,116.11,82.57,35126.82,28421.7,22059.68
01/01/2017 03:10,26.5,71.7,3.58,449.79,4.4,35768.54,28570.79,21504.17
01/01/2017 03:20,32.46,83.38,1.14,191.95,54.75,35585.43,28754.67,23092.11
